comm_id,comm_name,comm_age,sso,migration,exec_spsr,acct_geo,plat_tier,gold_tier,silv_tier,#_lang,#_features,enabled,case_count
a0C00000000DgPW,258,7.98,1,0,1,NA,0,1,0,1,1,0,6
a0C00000001JRqu,259,4.3,0,0,1,NA,1,0,0,1,1,1,43
a0C00000002L3c8,260,3.02,0,0,1,EMEA,1,0,0,1,5,1,18
a0C00000000UKU4,261,5.35,1,0,1,EMEA,1,0,0,2,7,1,79
a0C00000002I0KE,262,3.09,0,0,1,EMEA,0,1,0,1,2,1,8
a0C00000000UdDw,263,5.31,0,0,1,NA,0,1,0,2,2,0,83
a0C00000000F4cp,264,6.12,1,0,1,NA,1,0,0,1,3,0,6
a0C00000000DgDv,265,8,1,0,1,NA,1,0,0,1,1,0,7
a0C00000001VVwX,266,4.05,1,0,1,NA,1,0,0,1,9,0,17
a0C00000000DgDz,267,8,1,0,1,NA,1,0,0,1,1,0,1
a0C00000000Tvnq,268,5.46,0,0,1,NA,0,0,0,1,0,0,23
a0C00000000DgE0,269,8,1,0,1,NA,1,0,0,1,1,0,2
a0C00000000Dfep,270,8.03,0,0,1,NA,0,1,0,1,0,0,4
a0C00000003Njzb,271,0.43,0,0,1,EMEA,0,1,0,1,0,1,1
a0C00000000DgDu,272,8,1,0,1,NA,1,0,0,1,1,0,1
a0C00000000tUR5,273,4.71,0,0,1,NA,0,0,0,2,2,0,18
a0C00000003Nnd7,274,0.32,0,0,1,EMEA,0,1,0,3,3,1,1
a0C00000002SnyS,275,2.94,1,0,1,NA,1,0,0,2,6,1,1
a0C610000037q5n,276,0.21,0,0,1,EMEA,0,1,0,1,2,1,1
a0C00000000DgNa,277,7.98,0,0,1,NA,0,1,0,5,2,0,0
a0C00000000DgE1,278,8,1,0,1,NA,1,0,0,1,1,0,0
a0C610000038Msj,279,0.17,0,1,1,NA,1,0,0,1,7,1,0
a0C00000003NmCH,280,0.37,0,0,1,NA,0,1,0,1,0,0,0
a0C610000038MrA,281,0.17,0,1,1,NA,1,0,0,1,6,1,0
a0C00000003Nnmw,282,0.32,0,0,1,NA,1,0,0,1,6,1,0
a0C00000003Nlva,283,0.38,0,0,1,EMEA,1,0,0,1,0,1,0
